Source,Target,Type,Weight
A,M,Undirected,0.313479
A,MA,Undirected,0.539463
A,MAA,Undirected,0.258321
A,MAC,Undirected,0.325209
A,MAR,Undirected,0.492096
A,MAS,Undirected,0.486980
A,MAT,Undirected,0.328173
A,MCD,Undirected,0.351546
A,MCHP,Undirected,0.515387
A,MCK,Undirected,0.467574
A,MCO,Undirected,0.547833
A,MDLZ,Undirected,0.406259
A,MDT,Undirected,-0.015687
A,MET,Undirected,0.528607
A,MHK,Undirected,0.520387
A,MKC,Undirected,0.344708
A,MLM,Undirected,0.432415
A,MMC,Undirected,0.562132
A,MMM,Undirected,0.547271
A,MNK,Undirected,-0.034124
A,MNST,Undirected,-0.000767
A,MO,Undirected,0.296174
A,MON,Undirected,0.415752
A,MOS,Undirected,0.327673
A,MPC,Undirected,0.357575
A,MRK,Undirected,0.428999
A,MRO,Undirected,0.367731
A,MS,Undirected,0.541962
A,MSFT,Undirected,0.408197
A,MSI,Undirected,0.421510
A,MTB,Undirected,0.504291
A,MTD,Undirected,0.637453
A,MU,Undirected,0.426172
A,MUR,Undirected,0.337150
A,MYL,Undirected,0.029345
A,NAVI,Undirected,0.080506
A,NDAQ,Undirected,0.415775
A,NEE,Undirected,0.216570
A,NEM,Undirected,0.059599
A,NFLX,Undirected,0.330055
A,NFX,Undirected,0.330415
A,NI,Undirected,0.274819
A,NKE,Undirected,0.425985
A,NLSN,Undirected,-0.002856
A,NOC,Undirected,0.443009
A,NOV,Undirected,0.356605
A,NRG,Undirected,0.273663
A,NSC,Undirected,0.477087
A,NTAP,Undirected,0.399925
A,NTRS,Undirected,0.336867
A,NUE,Undirected,0.463464
A,NVDA,Undirected,0.415635
A,NWS,Undirected,0.034740
A,NWSA,Undirected,0.024825
A,O,Undirected,0.171235
A,OKE,Undirected,0.357171
A,OMC,Undirected,0.470597
A,ORCL,Undirected,0.517778
A,ORLY,Undirected,0.360545
A,OXY,Undirected,0.374464
A,PAYX,Undirected,0.489222
A,PBCT,Undirected,0.468161
A,PCAR,Undirected,0.540395
A,PCG,Undirected,0.188454
A,PCLN,Undirected,0.488717
A,PDCO,Undirected,0.490568
A,PEG,Undirected,0.203089
A,PEP,Undirected,0.336547
A,PFE,Undirected,0.456915
A,PFG,Undirected,0.578944
A,PG,Undirected,0.328351
A,PGR,Undirected,0.447892
A,PH,Undirected,0.539127
A,PHM,Undirected,0.416121
A,PKI,Undirected,0.672477
A,PLD,Undirected,0.400711
A,PM,Undirected,0.345452
A,PNC,Undirected,0.541414
A,PNR,Undirected,0.035474
A,PNW,Undirected,0.202258
A,PPG,Undirected,0.547856
A,PPL,Undirected,0.213149
A,PRGO,Undirected,0.012479
A,PRU,Undirected,0.550476
A,PSA,Undirected,0.299451
A,PSX,Undirected,0.411435
A,PVH,Undirected,0.332113
A,PWR,Undirected,0.498370
A,PX,Undirected,0.496475
A,PXD,Undirected,0.363340
A,PYPL,Undirected,0.031411
A,QCOM,Undirected,0.441309
A,QRVO,Undirected,-0.095724
A,RAI,Undirected,0.275028
A,RCL,Undirected,0.460052
A,RE,Undirected,0.385587
A,REG,Undirected,0.288446
A,REGN,Undirected,0.175166
A,RF,Undirected,0.505057
A,RHI,Undirected,0.498946
A,RHT,Undirected,0.516894
A,RIG,Undirected,0.295538
A,RJF,Undirected,0.553959
A,RL,Undirected,0.391975
A,ROK,Undirected,0.536129
A,ROP,Undirected,0.608385
A,ROST,Undirected,0.379738
A,RRC,Undirected,0.223339
A,RSG,Undirected,0.407926
A,RTN,Undirected,0.390534
A,SBUX,Undirected,0.428133
A,SCG,Undirected,0.189310
A,SCHW,Undirected,0.553076
A,SEE,Undirected,0.490558
A,SHW,Undirected,0.486850
A,SIG,Undirected,0.352276
A,SJM,Undirected,0.358990
A,SLB,Undirected,0.249702
A,SLG,Undirected,0.393453
A,SNA,Undirected,0.557975
A,SNI,Undirected,0.327649
A,SNPS,Undirected,0.340548
A,SO,Undirected,0.113956
A,SPG,Undirected,0.306584
A,SPGI,Undirected,0.545284
A,SPLS,Undirected,0.309930
A,SRCL,Undirected,0.409142
A,SRE,Undirected,0.289497
A,STI,Undirected,0.505597
A,STT,Undirected,0.559289
A,STX,Undirected,0.406298
A,STZ,Undirected,0.376958
A,SWK,Undirected,0.543061
A,SWKS,Undirected,0.465420
A,SYF,Undirected,-0.043833
A,SYK,Undirected,0.529019
A,SYMC,Undirected,0.367277
A,SYY,Undirected,0.364011
A,T,Undirected,0.299664
A,TAP,Undirected,0.388200
A,TDG,Undirected,0.418424
A,TEL,Undirected,0.576804
A,TGT,Undirected,0.220317
A,TIF,Undirected,0.492318
A,TJX,Undirected,0.431271
A,TMK,Undirected,0.542908
A,TMO,Undirected,0.681173
A,TRIP,Undirected,0.428170
A,TROW,Undirected,0.559176
A,TRV,Undirected,0.441830
A,TSCO,Undirected,0.410963
A,TSN,Undirected,0.293561
A,TSO,Undirected,0.281811
A,TSS,Undirected,0.513518
A,TWX,Undirected,0.435613
A,TXN,Undirected,0.525898
A,TXT,Undirected,0.488595
A,UA,Undirected,-0.017295
A,UAA,Undirected,0.386228
A,UAL,Undirected,0.362609
A,UDR,Undirected,0.280674
A,UHS,Undirected,0.409152
A,ULTA,Undirected,0.332216
A,UNH,Undirected,0.419463
A,UNM,Undirected,0.521053
